,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
1230,1230,1,34:17.1,34:44.1,0 days 00:00:26.960666,256,50000,0.056768,0.003489067,0.98,1.59E-05,1000,tiny,8,20000,128,PRUNED
1234,1234,1,36:31.8,37:03.1,0 days 00:00:31.272289,256,50000,0.007473267,0.006789787,0.995,1.00E-05,1000,tiny,4,20000,128,PRUNED
1243,1243,1,41:42.0,42:13.2,0 days 00:00:31.262131,64,50000,0.027948685,0.154548072,0.9999,0.121343933,1000,tiny,2,20000,4,PRUNED
1251,1251,1,46:44.0,47:11.5,0 days 00:00:27.429382,64,50000,0.015474496,0.040916652,0.9999,7.22E-05,0,tiny,8,20000,128,PRUNED
1263,1263,1,53:53.7,54:22.6,0 days 00:00:28.881799,64,50000,0.046454683,0.018165246,0.995,1.51E-05,1000,tiny,4,20000,128,PRUNED
1267,1267,1,56:07.6,56:36.1,0 days 00:00:28.533040,64,50000,0.002083747,0.002121752,0.9999,0.003523352,1000,tiny,2,20000,1000,PRUNED
1281,1281,1,04:40.4,05:13.1,0 days 00:00:32.710679,256,50000,0.008988624,0.006457836,0.98,1.78E-05,1000,tiny,4,5000,4,PRUNED
1294,1294,1,12:32.3,13:03.0,0 days 00:00:30.741922,64,50000,0.014702687,0.001709861,0.9999,0.315444356,0,tiny,4,20000,4,PRUNED
1300,1300,1,15:52.0,16:21.4,0 days 00:00:29.419833,64,50000,0.017094213,0.00254439,0.99,1.53E-05,1000,tiny,4,20000,1000,PRUNED
1301,1301,1,16:21.4,16:54.9,0 days 00:00:33.531657,256,50000,0.027786845,0.003591771,0.9999,0.087581993,5000,medium,2,20000,128,PRUNED
1306,1306,1,19:31.9,19:58.7,0 days 00:00:26.750514,256,50000,0.031557547,0.238993529,0.9999,0.212102833,1000,tiny,4,20000,1000,PRUNED
1311,1311,1,22:48.1,23:19.0,0 days 00:00:30.901624,64,50000,0.005043649,0.09820905,0.99,1.24E-05,1000,tiny,8,1,1000,PRUNED
1334,1334,1,37:27.4,38:00.6,0 days 00:00:33.263982,256,50000,0.001368707,0.076322649,0.98,0.008397414,5000,medium,4,20000,1000,PRUNED
1335,1335,1,38:00.6,38:33.8,0 days 00:00:33.136840,256,10000,0.001116651,0.054649745,0.98,1.65E-05,5000,medium,4,20000,128,PRUNED
1342,1342,1,42:04.9,42:40.9,0 days 00:00:35.978470,256,100000,0.001178573,0.08199644,0.98,2.61E-05,5000,medium,2,20000,1000,PRUNED
1356,1356,1,50:46.0,51:21.6,0 days 00:00:35.547586,256,50000,0.016935291,0.034246945,0.99,3.12E-05,10000,medium,2,20000,1000,PRUNED
1359,1359,1,52:54.4,53:27.3,0 days 00:00:32.901656,256,10000,0.001098107,0.004336034,0.99,0.00382112,10000,medium,4,20000,1000,PRUNED
1370,1370,1,00:03.2,00:40.6,0 days 00:00:37.372578,512,50000,0.002360586,0.090155358,0.95,0.016119694,1000,medium,2,20000,1000,PRUNED
1375,1375,1,03:08.5,03:40.4,0 days 00:00:31.932875,256,50000,0.013102424,0.030976825,0.98,1.26E-05,1000,medium,4,20000,1000,PRUNED
1385,1385,1,08:51.6,09:27.3,0 days 00:00:35.755045,256,50000,0.043803716,0.002933985,0.99,2.32E-05,1000,tiny,1,20000,128,PRUNED
1389,1389,1,11:05.3,11:51.5,0 days 00:00:46.206403,512,50000,0.005906719,0.004919593,0.99,0.479397829,10000,medium,4,1000,1,PRUNED
1400,1400,1,17:59.4,18:30.0,0 days 00:00:30.606993,512,50000,0.001119619,0.002698445,0.99,2.05E-05,1000,tiny,8,20000,8,PRUNED
1403,1403,1,19:41.5,20:14.0,0 days 00:00:32.486013,128,50000,0.011991404,0.002035458,0.9999,0.189701814,1000,medium,4,20000,128,PRUNED
