,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
225,225,54,45:21.0,50:36.8,0 days 00:05:15.720600,tanh,64,0.4,5.41E-08,0.98,0.995,3.71E-05,0.9,20,128,large,FALSE,0.019967163,PRUNED
262,262,54,42:19.7,49:19.8,0 days 00:07:00.106616,relu,64,0.4,9.60E-08,0.98,0.995,0.000218098,0.8,10,32,large,FALSE,0.020349741,PRUNED
284,284,54,45:35.0,48:16.3,0 days 00:02:41.296942,relu,128,0.2,9.36E-08,0.98,0.995,0.000301941,0.9,10,512,large,FALSE,0.003480949,PRUNED
304,304,54,54:42.2,07:03.6,0 days 00:12:21.329736,relu,16,0.4,0.000950815,0.99,0.995,0.000131489,5,10,512,large,FALSE,0.233886617,PRUNED
123,123,53,56:45.2,01:03.6,0 days 00:04:18.474614,relu,64,0.4,3.22E-07,0.98,0.995,0.000518766,0.9,5,512,large,FALSE,0.002574852,COMPLETE
194,194,53,18:53.9,25:52.9,0 days 00:06:59.067544,relu,16,0.4,9.94E-08,0.98,0.995,0.000670728,0.7,5,512,large,FALSE,0.002253671,PRUNED
255,255,53,51:34.9,53:35.4,0 days 00:02:00.412681,relu,64,0.4,1.09E-07,0.98,0.995,9.76E-05,0.7,5,256,large,FALSE,0.004402372,PRUNED
288,288,53,03:05.8,06:09.2,0 days 00:03:03.403366,tanh,64,0.3,1.61E-07,0.98,0.995,0.000240368,0.9,10,512,large,FALSE,0.67710867,PRUNED
300,300,53,24:04.8,26:18.8,0 days 00:02:14.001994,tanh,256,0.4,1.09E-08,0.98,0.995,0.000108366,0.8,10,512,large,FALSE,0.032404054,PRUNED
81,81,52,36:41.0,40:08.3,0 days 00:03:27.310664,tanh,64,0.4,7.88E-08,0.98,0.995,0.000322633,0.6,5,512,large,FALSE,0.001152484,COMPLETE
118,118,52,49:54.6,55:06.7,0 days 00:05:12.173862,tanh,64,0.4,8.83E-08,0.95,0.999,0.000124143,0.9,20,512,large,FALSE,0.007862705,PRUNED
174,174,52,07:58.7,13:54.9,0 days 00:05:56.198112,tanh,64,0.4,4.00E-08,0.98,0.995,0.000141548,0.9,10,32,large,FALSE,0.002081485,PRUNED
217,217,52,55:25.8,57:32.8,0 days 00:02:07.041667,relu,64,0.4,4.50E-07,0.98,0.995,0.000325785,0.9,5,512,large,FALSE,0.01165416,PRUNED
222,222,52,23:08.9,34:18.2,0 days 00:11:09.287949,tanh,64,0.4,1.51E-07,0.98,0.995,7.93E-05,0.9,20,512,large,FALSE,0.001845563,COMPLETE
247,247,52,29:03.6,45:43.4,0 days 00:16:39.768298,relu,16,0.4,1.38E-07,0.8,0.95,0.004201995,0.3,10,512,large,FALSE,0.281127748,PRUNED
250,250,52,50:24.0,24:24.6,0 days 00:34:00.562325,relu,16,0.4,2.02E-07,0.99,0.995,0.000937675,5,20,512,large,TRUE,0.009273468,PRUNED
6,6,51,42:54.4,49:32.7,0 days 00:06:38.347274,relu,64,0.4,2.61E-08,0.8,0.9,0.00027828,5,20,256,small,FALSE,0.514585765,COMPLETE
82,82,51,40:08.3,43:12.4,0 days 00:03:04.080053,tanh,256,0.4,2.38E-08,0.98,0.995,0.000378545,0.5,20,2048,large,FALSE,0.002657258,PRUNED
100,100,51,24:54.3,25:37.9,0 days 00:00:43.641126,relu,128,0.4,1.10E-07,0.98,0.95,9.04E-05,1,1,256,medium,FALSE,0.000733209,PRUNED
155,155,51,03:42.5,09:35.6,0 days 00:05:53.116341,tanh,64,0.4,4.69E-07,1,0.995,0.000226986,0.5,10,32,large,FALSE,0.008567934,PRUNED
325,325,51,12:27.8,14:18.8,0 days 00:01:50.939736,tanh,64,0.4,5.30E-08,0.98,0.995,0.000216049,0.9,5,512,large,FALSE,0.000457474,PRUNED
149,149,50,44:12.6,09:57.4,0 days 00:25:44.788354,relu,16,0.4,6.91E-08,0.98,0.995,0.000810853,1,10,2048,medium,FALSE,0.000744365,COMPLETE
7,7,49,49:32.7,56:27.1,0 days 00:06:54.406115,relu,64,0.4,6.08E-08,0.99,0.99,0.000637746,5,20,256,small,FALSE,0.004860651,COMPLETE
173,173,49,02:04.6,07:58.7,0 days 00:05:54.031121,tanh,64,0.4,7.30E-08,0.98,0.995,0.000205628,0.9,10,512,large,FALSE,0.001090805,COMPLETE
184,184,49,56:51.1,02:52.0,0 days 00:06:00.855347,relu,16,0.4,2.20E-07,0.98,0.995,0.000308075,0.9,5,2048,large,FALSE,0.009209725,PRUNED
189,189,49,24:53.6,27:56.6,0 days 00:03:03.062205,relu,512,0.4,6.92E-08,0.95,0.995,0.000246145,0.9,20,512,large,FALSE,0.003667289,COMPLETE
191,191,49,32:13.3,47:56.1,0 days 00:15:42.734474,relu,16,0.4,8.46E-08,0.98,0.995,0.00040866,0.7,5,256,large,FALSE,0.005793033,COMPLETE
205,205,49,29:14.6,31:04.7,0 days 00:01:50.073079,tanh,64,0.4,1.25E-07,0.98,0.995,0.001408739,0.9,5,512,large,FALSE,0.000939361,PRUNED
207,207,49,39:49.3,41:36.8,0 days 00:01:47.506477,tanh,64,0.4,2.12E-07,0.98,0.995,0.00119332,2,5,512,large,FALSE,0.001504279,PRUNED
208,208,49,41:36.8,45:33.8,0 days 00:03:57.017207,relu,64,0.1,1.09E-06,0.98,0.995,0.000784387,0.9,10,512,large,FALSE,0.001117215,PRUNED
216,216,49,52:28.5,55:25.8,0 days 00:02:57.304950,tanh,64,0.4,7.85E-07,0.98,0.995,0.000131007,0.9,10,512,large,FALSE,0.000165208,PRUNED
298,298,49,21:13.0,23:03.0,0 days 00:01:50.056549,tanh,64,0.1,2.44E-06,0.98,0.995,4.22E-05,0.9,5,512,large,FALSE,0.107836208,PRUNED
302,302,49,32:38.8,36:50.4,0 days 00:04:11.645559,relu,32,0.4,9.02E-08,0.98,0.995,0.000503249,0.7,5,128,large,FALSE,0.00209659,PRUNED
9,9,48,58:14.8,59:44.1,0 days 00:01:29.311883,relu,512,0.4,4.79E-05,0.92,0.95,0.009375421,5,10,1024,small,FALSE,0.546944672,COMPLETE
187,187,48,19:48.9,21:23.4,0 days 00:01:34.470341,tanh,16,0.4,1.67E-08,0.99,0.99,0.00019785,0.6,1,512,large,FALSE,0.000542496,PRUNED
278,278,48,22:23.8,27:07.9,0 days 00:04:44.142484,tanh,128,0.4,6.38E-08,0.98,0.995,0.000257179,0.9,10,512,large,FALSE,0.000392612,COMPLETE
323,323,48,36:38.2,38:29.2,0 days 00:01:50.959088,tanh,64,0.4,7.35E-08,0.98,0.98,0.000311246,0.5,5,512,large,FALSE,0.000308329,PRUNED
330,330,48,34:30.8,35:57.4,0 days 00:01:26.593873,tanh,512,0.4,4.28E-07,1,0.995,0.00015892,0.9,10,512,large,FALSE,0.006877215,PRUNED
338,338,48,07:23.5,16:56.3,0 days 00:09:32.752362,tanh,64,0.4,1.57E-08,0.98,0.99,0.000404889,5,5,8,large,FALSE,0.002631343,PRUNED
26,26,47,48:36.4,58:04.0,0 days 00:09:27.540221,tanh,16,0.1,4.14E-08,0.95,0.999,0.000484541,1,5,128,large,TRUE,0.001089159,COMPLETE
77,77,47,25:27.2,28:16.4,0 days 00:02:49.208605,tanh,64,0.4,1.06E-07,0.9,0.995,6.78E-05,0.9,10,512,large,FALSE,0.000749442,PRUNED
84,84,47,52:02.3,52:56.8,0 days 00:00:54.486360,tanh,64,0.4,1.18E-07,0.92,0.995,0.00037093,0.9,1,512,large,FALSE,0.003541699,PRUNED
135,135,47,51:00.9,03:51.7,0 days 00:12:50.738792,relu,64,0.4,3.44E-08,0.98,0.995,0.000260851,0.9,10,16,large,FALSE,0.00551137,PRUNED
144,144,47,42:22.7,45:36.8,0 days 00:03:14.087607,relu,64,0.4,1.89E-07,0.98,0.995,9.91E-05,0.9,10,512,large,FALSE,0.003667124,PRUNED
159,159,47,18:28.9,42:24.8,0 days 00:23:55.972598,relu,8,0.4,2.34E-06,0.92,0.9,0.000121669,0.9,10,2048,large,TRUE,0.001225325,PRUNED
166,166,47,02:14.7,04:23.6,0 days 00:02:08.887668,relu,64,0.4,4.07E-08,0.98,0.995,0.002080575,0.5,10,512,small,FALSE,0.00640154,PRUNED
258,258,47,01:09.1,18:29.2,0 days 00:17:20.116911,tanh,16,0.2,7.43E-08,0.98,0.995,0.000270236,1,20,512,large,FALSE,0.007135817,PRUNED
326,326,47,14:18.8,21:10.9,0 days 00:06:52.182537,relu,64,0.3,3.12E-05,0.98,0.995,8.07E-05,0.9,10,512,large,FALSE,0.00412207,COMPLETE
8,8,46,56:27.1,58:14.8,0 days 00:01:47.656557,relu,128,0.3,1.31E-08,0.8,0.9,0.000946237,0.9,5,512,small,FALSE,0.000912674,COMPLETE
12,12,46,30:05.1,36:58.0,0 days 00:06:52.919410,relu,64,0.4,1.79E-07,0.99,0.99,0.001229134,5,20,64,small,FALSE,0.000187923,COMPLETE
148,148,46,38:43.9,44:12.6,0 days 00:05:28.732957,tanh,16,0.4,3.10E-08,0.99,0.99,0.00029058,0.9,10,2048,small,FALSE,0.006852694,PRUNED
156,156,46,09:35.6,13:04.0,0 days 00:03:28.442856,relu,64,0.4,6.99E-08,0.98,0.995,0.000322493,0.9,10,512,large,FALSE,0.033772561,PRUNED
202,202,46,23:44.9,25:33.4,0 days 00:01:48.495756,tanh,64,0.4,1.80E-05,0.98,0.995,0.00113007,2,5,512,large,FALSE,0.000453319,PRUNED
