,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
1729,1729,52,12:27.4,17:00.3,0 days 00:04:32.891680,512,100000,0.042386501,0.002751131,0.9,0.000584156,1000,large,1,5000,16,COMPLETE
2370,2370,52,29:44.2,32:56.2,0 days 00:03:12.012052,128,10000,0.029946658,0.088050879,0.99,0.000873352,1000,medium,1,15000,16,COMPLETE
2498,2498,52,27:31.3,31:56.9,0 days 00:04:25.592482,512,50000,0.011079456,0.005218293,0.95,0.000269325,10000,large,1,5000,16,COMPLETE
2759,2759,52,51:02.6,54:09.1,0 days 00:03:06.477056,256,10000,0.010277551,0.004050843,0.9,0.001532481,5000,small,1,20000,16,COMPLETE
176,176,51,30:01.0,33:18.5,0 days 00:03:17.568196,256,10000,0.083613376,0.010270968,0.999,0.001165904,10000,medium,1,5000,256,COMPLETE
355,355,51,46:20.8,49:22.2,0 days 00:03:01.446467,128,10000,0.026888097,0.015755777,0.9,0.001601559,20000,medium,1,1000,16,COMPLETE
400,400,51,34:50.6,39:06.8,0 days 00:04:16.196200,512,100000,0.018400826,0.004973687,0.9,0.000827676,1000,medium,1,5000,1,COMPLETE
426,426,51,04:53.3,08:20.4,0 days 00:03:27.120619,512,100000,0.012020006,0.00393062,0.9,0.000873631,1000,tiny,4,5000,1,COMPLETE
662,662,51,40:29.8,44:58.7,0 days 00:04:28.873281,512,50000,0.005084587,0.313417246,0.9,0.000170574,5000,large,4,5000,1,COMPLETE
1710,1710,51,36:46.3,38:59.2,0 days 00:02:12.948467,512,10000,0.038336059,0.219568307,0.95,0.000641916,10000,small,2,15000,16,COMPLETE
1850,1850,51,23:57.3,27:22.3,0 days 00:03:24.994738,512,10000,0.001337275,0.016276976,0.9,0.00074307,5000,tiny,1,5000,16,COMPLETE
2181,2181,51,00:13.5,04:44.0,0 days 00:04:30.554575,512,10000,0.014802283,0.126653712,0.9,0.000741961,10000,large,1,5000,1,COMPLETE
2972,2972,51,40:33.9,43:59.6,0 days 00:03:25.718467,512,50000,0.007381281,0.035255495,0.9,0.000627878,1000,tiny,1,5000,16,COMPLETE
3330,3330,51,01:26.4,05:28.5,0 days 00:04:02.134535,512,10000,0.07313834,0.005575418,0.9,0.000545914,20000,medium,1,5000,1,COMPLETE
13,13,50,52:07.5,53:57.6,0 days 00:01:50.108414,128,1000000,0.102611289,0.00404687,0.9,0.000407235,0,small,2,15000,8,COMPLETE
780,780,50,52:23.2,55:58.4,0 days 00:03:35.225548,512,10000,0.088331004,0.023024772,0.9,0.001182281,1000,tiny,1,5000,1,COMPLETE
1426,1426,50,11:43.7,14:28.7,0 days 00:02:45.002880,128,100000,0.011008926,0.007799424,0.999,0.00230494,5000,small,1,5000,16,COMPLETE
1449,1449,50,00:08.9,04:35.4,0 days 00:04:26.521838,512,10000,0.046397669,0.004742033,0.995,0.001033296,1000,medium,1,5000,1,COMPLETE
2355,2355,50,57:39.5,01:24.8,0 days 00:03:45.320930,256,50000,0.005016552,0.039683739,0.9,0.001124783,5000,medium,1,5000,1,COMPLETE
3411,3411,50,39:52.5,43:55.3,0 days 00:04:02.834367,512,100000,0.002536821,0.106622454,0.95,0.000705274,10000,medium,1,15000,8,COMPLETE
131,131,49,54:45.7,58:04.8,0 days 00:03:19.173811,256,10000,0.05764757,0.136273379,0.999,0.002168654,5000,medium,1,15000,16,COMPLETE
396,396,49,17:47.8,22:02.8,0 days 00:04:14.986291,512,10000,0.020356641,0.00445935,0.9,0.001198889,1000,medium,1,5000,1,COMPLETE
436,436,49,34:55.4,38:22.5,0 days 00:03:27.102983,512,100000,0.011349799,0.002851085,0.9,0.000974684,1000,tiny,1,5000,1,COMPLETE
523,523,49,50:29.9,54:13.8,0 days 00:03:43.978621,512,50000,0.010751214,0.002571495,0.99,0.001047433,1000,tiny,1,5000,128,COMPLETE
533,533,49,12:16.1,15:49.0,0 days 00:03:32.946347,512,50000,0.004762419,0.189579839,0.9,0.001818019,1000,small,1,5000,1,COMPLETE
740,740,49,31:32.5,35:15.0,0 days 00:03:42.533292,512,100000,0.07321161,0.007488717,0.9,0.000725008,1000,small,1,5000,1,COMPLETE
860,860,49,41:22.6,45:00.1,0 days 00:03:37.529858,512,100000,0.008705405,0.002493028,0.9,0.002109726,1000,small,1,5000,16,COMPLETE
1276,1276,49,06:04.3,10:40.4,0 days 00:04:36.153558,512,50000,0.042757696,0.001465501,0.9,0.001904814,0,large,1,5000,128,COMPLETE
1882,1882,49,28:55.8,33:28.0,0 days 00:04:32.154106,512,50000,0.021285417,0.0247338,0.9,0.001095214,1000,large,1,5000,16,COMPLETE
2121,2121,49,02:46.4,05:45.6,0 days 00:02:59.100666,256,10000,0.004774757,0.081537569,0.9,0.001802152,5000,small,1,5000,16,COMPLETE
2369,2369,49,26:00.0,29:44.2,0 days 00:03:44.258616,512,1000000,0.010191962,0.003886281,0.9,0.001348865,0,small,1,5000,1,COMPLETE
165,165,48,07:26.2,10:46.6,0 days 00:03:20.379382,256,10000,0.056895711,0.160854427,0.999,0.000993763,5000,medium,1,5000,256,COMPLETE
169,169,48,15:01.5,18:20.6,0 days 00:03:19.089115,256,10000,0.052563459,0.137310597,0.999,0.001197839,5000,medium,1,5000,256,COMPLETE
402,402,48,41:22.5,45:38.7,0 days 00:04:16.216674,512,100000,0.021629687,0.004875345,0.9,0.001125253,1000,medium,1,5000,1,COMPLETE
406,406,48,54:08.6,58:24.7,0 days 00:04:16.122469,512,100000,0.020499264,0.004859928,0.9,0.001335636,1000,medium,1,5000,1,COMPLETE
443,443,48,56:01.2,59:29.0,0 days 00:03:27.829568,512,100000,0.012054525,0.006929234,0.9,0.000431064,1000,tiny,1,5000,1,COMPLETE
1031,1031,48,35:32.5,39:08.4,0 days 00:03:35.910887,512,10000,0.031485287,0.003406431,0.9,0.000186837,1000,small,1,15000,4,COMPLETE
1457,1457,48,20:53.3,23:47.3,0 days 00:02:54.031220,128,10000,0.019029486,0.003504462,0.9,0.001255212,1000,tiny,4,5000,1,COMPLETE
1579,1579,48,17:21.6,21:56.9,0 days 00:04:35.273851,512,10000,0.002087588,0.003313715,0.999,0.002391315,10000,large,1,5000,16,COMPLETE
2021,2021,48,59:57.9,03:02.7,0 days 00:03:04.760153,128,10000,0.003411147,0.005300102,0.99,0.000864222,10000,medium,1,5000,128,COMPLETE
