,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
569,569,429,32:45.5,40:47.1,0 days 00:08:01.616068,relu,32,0.2,5.54E-05,0.98,0.99,4.47E-05,0.9,20,2048,medium,TRUE,8.69E-05,PRUNED
243,243,428,52:04.9,55:39.2,0 days 00:03:34.326025,relu,256,0.3,4.66E-05,0.99,0.99,1.81E-05,0.9,20,2048,medium,TRUE,3.57E-06,COMPLETE
496,496,428,00:08.9,06:34.7,0 days 00:06:25.755090,tanh,32,0.3,3.58E-07,0.99,0.99,2.04E-05,0.8,20,2048,medium,TRUE,0.012748432,PRUNED
537,537,426,15:55.6,27:53.4,0 days 00:11:57.784379,relu,32,0.3,1.85E-07,0.99,0.9999,2.95E-05,0.5,20,64,large,TRUE,0.001866958,PRUNED
618,618,425,33:28.3,30:27.8,0 days 00:56:59.464271,tanh,8,0.3,3.63E-07,0.99,0.999,2.08E-05,2,20,2048,medium,TRUE,0.016990788,COMPLETE
101,101,422,09:08.1,16:22.2,0 days 00:07:14.048756,relu,128,0.3,3.62E-08,0.99,0.99,2.98E-05,0.9,20,2048,medium,TRUE,3.23E-06,COMPLETE
629,629,421,52:34.6,53:40.5,0 days 00:01:05.916197,tanh,512,0.3,1.17E-06,0.98,0.995,9.40E-05,0.9,20,1024,medium,TRUE,0.016690407,PRUNED
128,128,416,38:31.0,42:13.6,0 days 00:03:42.656898,relu,256,0.3,2.34E-07,0.99,0.99,2.02E-05,0.9,20,2048,medium,TRUE,1.83E-06,COMPLETE
273,273,415,23:13.6,31:51.3,0 days 00:08:37.725843,relu,32,0.4,2.87E-07,0.99,0.99,0.000154483,0.9,20,512,medium,TRUE,4.46E-06,PRUNED
347,347,415,05:48.6,23:49.2,0 days 01:18:00.543648,relu,8,0.1,1.80E-05,0.99,0.995,2.67E-05,0.9,20,512,medium,TRUE,2.94E-07,COMPLETE
471,471,415,00:21.0,03:58.5,0 days 00:03:37.479653,tanh,32,0.2,7.80E-08,0.99,0.995,1.44E-05,0.5,10,2048,medium,TRUE,2.29E-06,PRUNED
94,94,414,08:51.8,19:20.0,0 days 00:10:28.225448,relu,64,0.3,2.72E-08,0.92,0.99,2.61E-05,0.9,20,128,medium,TRUE,8.13E-06,COMPLETE
223,223,414,30:18.1,36:42.6,0 days 00:06:24.567313,tanh,32,0.1,4.42E-07,0.99,0.995,2.17E-05,0.5,20,2048,medium,TRUE,1.84E-07,PRUNED
582,582,414,22:44.6,25:44.4,0 days 00:02:59.719367,relu,128,0.3,1.44E-08,0.99,0.995,1.00E-05,0.5,20,2048,medium,TRUE,2.93E-06,PRUNED
138,138,413,05:23.1,08:53.6,0 days 00:03:30.508177,relu,256,0.3,9.15E-07,0.99,0.995,3.04E-05,0.7,20,2048,medium,TRUE,2.72E-06,COMPLETE
38,38,412,59:45.4,06:53.9,0 days 00:07:08.537306,relu,128,0.2,1.82E-08,0.8,0.9999,2.30E-05,0.3,10,64,large,TRUE,5.36E-05,COMPLETE
251,251,412,42:09.3,59:16.7,0 days 00:17:07.329932,relu,32,0.3,6.28E-07,0.99,0.995,1.58E-05,0.6,20,2048,medium,TRUE,0.000452077,COMPLETE
292,292,412,40:32.3,48:20.6,0 days 00:07:48.344706,relu,32,0.1,1.60E-07,0.99,0.99,3.28E-05,2,20,1024,medium,TRUE,3.34E-06,PRUNED
358,358,412,19:23.0,24:40.9,0 days 00:05:17.823451,relu,64,0.3,1.41E-06,1,0.995,0.000120355,0.8,20,2048,medium,TRUE,1.02E-06,PRUNED
336,336,411,37:57.1,45:01.8,0 days 00:07:04.691153,relu,32,0.1,4.10E-07,0.92,0.995,1.21E-05,0.8,20,1024,medium,TRUE,1.95E-07,PRUNED
349,349,411,34:26.8,38:22.6,0 days 00:03:55.794612,tanh,256,0.2,1.21E-07,0.99,0.99,1.50E-05,0.5,20,2048,medium,TRUE,0.0008564,COMPLETE
147,147,410,05:45.0,01:47.7,0 days 00:56:02.657248,tanh,8,0.3,1.31E-06,0.99,0.995,2.87E-05,0.7,20,2048,medium,TRUE,1.58E-06,COMPLETE
454,454,410,12:11.0,21:33.9,0 days 00:09:22.905369,relu,32,0.3,3.23E-08,0.92,0.999,2.18E-05,0.5,20,64,medium,TRUE,5.79E-06,PRUNED
72,72,408,28:21.6,35:14.6,0 days 00:06:53.041043,relu,128,0.2,2.02E-08,0.8,0.9999,5.29E-05,0.3,10,64,large,TRUE,5.40E-05,COMPLETE
505,505,408,17:15.4,33:34.9,0 days 00:16:19.485913,tanh,32,0.3,8.29E-08,0.99,0.99,2.95E-05,0.8,20,2048,medium,TRUE,0.000156162,COMPLETE
580,580,407,06:12.8,14:25.0,0 days 00:08:12.125651,relu,32,0.1,1.29E-05,0.99,0.99,5.82E-05,0.7,20,1024,medium,TRUE,2.06E-05,PRUNED
