,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
2256,2256,49,24:08.2,24:50.6,0 days 00:00:42.382164,64,10000,0.128638063,0.001551557,0.999,0.000672528,10000,large,2,20000,4,PRUNED
2290,2290,49,50:18.8,51:09.2,0 days 00:00:50.475679,64,100000,0.036594339,0.429983148,0.98,0.00012437,10000,medium,1,15000,1,PRUNED
2772,2772,49,53:22.0,54:03.5,0 days 00:00:41.534296,64,100000,0.003789102,0.002900842,0.99,0.001822193,10000,small,4,1000,1,PRUNED
2866,2866,49,00:47.0,01:47.1,0 days 00:01:00.102763,128,10000,0.002398888,0.00426706,0.99,4.57E-05,5000,large,8,1000,1,PRUNED
3311,3311,49,58:57.4,59:48.7,0 days 00:00:51.280579,100,1000000,0.001279007,0.186596744,0.99,0.002189725,10000,small,1,10000,256,PRUNED
3406,3406,49,10:08.4,10:54.9,0 days 00:00:46.536577,64,50000,0.004494207,0.025795751,0.995,0.002845997,5000,small,1,1000,256,PRUNED
180,180,48,42:11.6,43:13.1,0 days 00:01:01.524851,64,10000,0.072986623,0.001004176,0.995,0.001446779,0,small,2,1000,128,COMPLETE
960,960,48,15:25.2,15:59.5,0 days 00:00:34.266319,64,10000,0.085364831,0.003507321,0.9,0.004266232,10000,medium,8,1000,256,PRUNED
984,984,48,34:09.6,34:53.8,0 days 00:00:44.171225,64,100000,0.004921985,0.067811051,0.99,0.001221467,5000,medium,1,1000,1,PRUNED
1010,1010,48,54:44.8,55:31.3,0 days 00:00:46.497818,64,1000000,0.159838215,0.002141975,0.99,0.000395493,5000,large,1,15000,128,PRUNED
1186,1186,48,01:15.1,01:50.8,0 days 00:00:35.758291,64,100000,0.003385298,0.042990075,0.99,5.40E-05,10000,medium,2,20000,256,PRUNED
1660,1660,48,12:57.8,13:40.6,0 days 00:00:42.811079,256,100000,0.019125259,0.07048313,0.995,0.001593903,5000,small,1,15000,128,PRUNED
1695,1695,48,42:42.0,43:29.0,0 days 00:00:47.001023,64,10000,0.003294696,0.156221799,0.9,6.07E-05,5000,medium,1,1000,256,PRUNED
3348,3348,48,26:57.3,27:53.0,0 days 00:00:55.697727,256,1000000,0.135665999,0.064123887,0.98,0.000189052,5000,large,1,1000,1,PRUNED
3475,3475,48,02:43.9,03:25.9,0 days 00:00:42.004397,32,100000,0.036145707,0.001344001,0.98,0.003140557,5000,small,1,15000,256,PRUNED
3591,3591,48,29:31.4,30:10.4,0 days 00:00:38.935595,64,10000,0.132616243,0.020272442,0.99,0.033422874,5000,small,2,15000,256,PRUNED
3694,3694,48,38:50.4,39:34.0,0 days 00:00:43.617469,64,50000,0.001689202,0.003070658,0.9999,0.000152163,5000,small,1,15000,16,PRUNED
3789,3789,48,44:34.1,45:12.3,0 days 00:00:38.193361,100,1000000,0.014976781,0.052885425,0.99,0.002098374,10000,small,2,15000,256,PRUNED
52,52,47,04:21.0,05:50.1,0 days 00:01:29.102415,64,100000,0.035068578,0.002309261,0.95,0.001565633,5000,large,1,1000,1,COMPLETE
809,809,47,25:51.3,26:37.0,0 days 00:00:45.682996,64,100000,0.05204725,0.393498448,0.995,9.62E-05,5000,large,1,15000,128,PRUNED
848,848,47,54:09.1,54:53.5,0 days 00:00:44.416136,64,100000,0.048123366,0.009544272,0.99,0.001130899,10000,medium,8,5000,1,PRUNED
994,994,47,41:25.3,42:10.0,0 days 00:00:44.672619,16,100000,0.043128037,0.087545453,0.99,0.001495903,5000,medium,1,20000,256,PRUNED
1285,1285,47,11:37.1,12:21.1,0 days 00:00:43.965884,64,10000,0.011894235,0.026577959,0.99,0.000658456,10000,small,4,20000,1,PRUNED
1515,1515,47,01:05.0,02:55.0,0 days 00:01:49.963159,64,1000000,0.040618005,0.003644347,0.99,0.0018454,5000,large,1,15000,1,COMPLETE
1982,1982,47,44:18.6,45:01.8,0 days 00:00:43.251159,64,50000,0.014961409,0.092253809,0.99,0.00044116,5000,medium,2,1000,256,PRUNED
1985,1985,47,46:50.6,47:58.1,0 days 00:01:07.523148,64,100000,0.042798272,0.010934356,0.99,0.002186916,5000,small,4,15000,4,COMPLETE
2174,2174,47,19:42.1,20:32.0,0 days 00:00:49.878772,100,10000,0.007826783,0.334356846,0.995,0.002641553,5000,medium,1,15000,256,PRUNED
2706,2706,47,05:30.3,06:13.5,0 days 00:00:43.133466,64,50000,0.007841874,0.495163084,0.99,0.009773557,10000,tiny,4,10000,1,PRUNED
2726,2726,47,21:34.5,22:19.1,0 days 00:00:44.584352,64,100000,0.003145114,0.025760345,0.99,0.012881111,1000,small,1,15000,1,PRUNED
2858,2858,47,54:59.6,55:53.3,0 days 00:00:53.676961,16,50000,0.01987113,0.131610711,0.98,0.000105473,5000,large,1,1000,256,PRUNED
3343,3343,47,23:30.7,24:14.6,0 days 00:00:43.887011,16,100000,0.015921376,0.003785263,0.99,0.00918433,5000,small,1,5000,256,PRUNED
3395,3395,47,02:00.0,02:35.1,0 days 00:00:35.099498,16,100000,0.002504781,0.131610314,0.99,0.002908162,10000,small,4,15000,256,PRUNED
3782,3782,47,39:44.1,40:24.6,0 days 00:00:40.444293,100,100000,0.008567079,0.010568424,0.9,0.001001145,10000,medium,2,15000,128,PRUNED
