,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_vf_coef,state
63,63,75.0,2023-04-27 00:25:39.073979,2023-04-27 00:26:56.980317,0 days 00:01:17.906338,tanh,3.4534035456874484e-06,0.999,0.9,1.2248510554904854e-05,0.3787961518503358,64,large,True,False,0.12031339959361634,COMPLETE
64,64,1.0,2023-04-27 00:26:56.982318,2023-04-27 00:27:47.688897,0 days 00:00:50.706579,tanh,2.25725437630706e-06,0.999,0.9,1.2919145234346396e-05,0.38464819931791505,64,large,True,False,0.13517614870553218,PRUNED
65,65,1.0,2023-04-27 00:27:47.689896,2023-04-27 00:28:36.820301,0 days 00:00:49.130405,tanh,3.823233307417938e-06,0.95,0.99,1.6428629825008918e-05,0.43112592546087464,512,large,True,False,0.12518782841183124,PRUNED
66,66,0.0,2023-04-27 00:28:36.821301,2023-04-27 00:29:31.978727,0 days 00:00:55.157426,tanh,1.5523976372705709e-06,0.999,0.9,1.1606796057519542e-05,0.32287107423797484,64,large,True,False,0.12027988846127301,PRUNED
67,67,0.0,2023-04-27 00:29:31.979726,2023-04-27 00:30:26.378262,0 days 00:00:54.398536,relu,5.236731866488308e-06,0.99,0.9,2.6919451841809537e-05,0.5033602490211223,128,large,False,False,0.1408437437015973,PRUNED
68,68,1.0,2023-04-27 00:30:26.379268,2023-04-27 00:31:16.610050,0 days 00:00:50.230782,tanh,1.2105035471313975e-05,0.995,0.99,1.6167936124857376e-05,0.35934409992324595,64,small,True,False,0.10911807135233398,PRUNED
69,69,1.0,2023-04-27 00:31:16.611052,2023-04-27 00:32:07.165806,0 days 00:00:50.554754,relu,2.0146486250577932e-05,0.999,0.999,1.1579289613829028e-05,0.45163676372948475,1024,large,False,True,0.19472198083705813,PRUNED
70,70,1.0,2023-04-27 00:32:07.167809,2023-04-27 00:32:56.118138,0 days 00:00:48.950329,tanh,1.0120071395370383e-06,0.95,0.995,2.086765174498786e-05,0.401258096171526,32,small,True,False,0.12291488213230559,PRUNED
71,71,1.0,2023-04-27 00:32:56.119141,2023-04-27 00:33:46.472616,0 days 00:00:50.353475,tanh,3.4931549008161194e-06,0.999,0.9,1.0197108583350137e-05,0.36800362919206586,64,large,True,False,0.10005310830386334,PRUNED
72,72,23.0,2023-04-27 00:33:46.473616,2023-04-27 00:34:41.691763,0 days 00:00:55.218147,tanh,3.0272002161197674e-06,0.999,0.9,1.4079875121866964e-05,0.378422920778872,64,large,True,False,0.10743743343923207,PRUNED
73,73,1.0,2023-04-27 00:34:41.692762,2023-04-27 00:35:32.152905,0 days 00:00:50.460143,tanh,2.175386944012008e-06,0.999,0.9,2.2654189766415154e-05,0.32592553578413813,64,large,True,False,0.11465932355359372,PRUNED
74,74,1.0,2023-04-27 00:35:32.154905,2023-04-27 00:36:22.653493,0 days 00:00:50.498588,tanh,5.158288289636476e-06,0.999,0.9,1.5899203261915655e-05,0.31832248011166614,64,large,True,False,0.13379611444675799,PRUNED
75,75,1.0,2023-04-27 00:36:22.654491,2023-04-27 00:37:12.714404,0 days 00:00:50.059913,tanh,2.971148573449256e-06,0.9999,0.9,1.901800990539736e-05,0.41193319390797734,128,large,True,True,0.10549123792844983,PRUNED
76,76,1.0,2023-04-27 00:37:12.715405,2023-04-27 00:37:56.208708,0 days 00:00:43.493303,relu,9.860311082879905e-06,0.999,0.9999,1.2957379031985734e-05,0.30183689549039455,64,tiny,False,False,0.15003087156348627,PRUNED
77,77,1.0,2023-04-27 00:37:56.209707,2023-04-27 00:38:42.281895,0 days 00:00:46.072188,tanh,1.620175806066177e-06,0.9999,0.98,3.0028695859947874e-05,0.364522853519702,1024,small,True,True,0.12052317855503616,PRUNED
78,78,1.0,2023-04-27 00:38:42.283893,2023-04-27 00:39:31.224403,0 days 00:00:48.940510,relu,1.563807079077538e-05,0.9,0.999,2.4810227339854005e-05,0.4625300980648845,256,large,False,False,0.11247621372119432,PRUNED
79,79,1.0,2023-04-27 00:39:31.226404,2023-04-27 00:40:18.210609,0 days 00:00:46.984205,tanh,7.4742401268987625e-06,0.95,0.99,1.1660578390496122e-05,0.3415243560263476,64,small,False,True,0.13374756511656494,PRUNED
80,80,1.0,2023-04-27 00:40:18.211607,2023-04-27 00:41:13.599340,0 days 00:00:55.387733,relu,4.185463559052374e-06,0.999,0.9,1.860685489706966e-05,0.3859480375790745,16,large,True,False,0.10400973163842796,PRUNED
81,81,1.0,2023-04-27 00:41:13.600339,2023-04-27 00:42:04.434816,0 days 00:00:50.834477,tanh,6.309911044818964e-06,0.999,0.9,2.2684008740600486e-05,0.3341761175770459,64,large,True,False,0.10204191466482625,PRUNED
82,82,87.0,2023-04-27 00:42:04.435819,2023-04-27 00:43:22.450919,0 days 00:01:18.015100,tanh,7.928022117047852e-06,0.999,0.9,1.4773253966464987e-05,0.3504691480165936,64,large,True,False,0.11926452724487306,COMPLETE
83,83,0.0,2023-04-27 00:43:22.452924,2023-04-27 00:44:17.702085,0 days 00:00:55.249161,tanh,2.5007930303106593e-06,0.999,0.9,1.3729843082616437e-05,0.4227793351124434,64,large,True,False,0.12016107638908129,PRUNED
84,84,1.0,2023-04-27 00:44:17.704090,2023-04-27 00:45:06.844677,0 days 00:00:49.140587,tanh,3.5174738983090257e-06,0.999,0.9,1.507493574949348e-05,0.30067509137749027,1024,large,True,False,0.12714937439698454,PRUNED
85,85,64.0,2023-04-27 00:45:06.845675,2023-04-27 00:46:24.152734,0 days 00:01:17.307059,tanh,1.4012008075402184e-06,0.98,0.999,1.1969427456252777e-05,0.3522591664054396,64,large,True,False,0.11180818660108092,COMPLETE
86,86,65.0,2023-04-27 00:46:24.155733,2023-04-27 00:47:37.389548,0 days 00:01:13.233815,relu,1.4567433269129285e-06,0.98,0.999,1.0068068489303905e-05,0.3581928677221367,32,small,False,True,0.11109130631115004,COMPLETE
87,87,1.0,2023-04-27 00:47:37.390549,2023-04-27 00:48:28.999391,0 days 00:00:51.608842,tanh,1.7771447184482326e-06,0.98,0.999,1.1605665765476235e-05,0.31770679883135955,32,large,True,False,0.11167178990483413,PRUNED
88,88,6.0,2023-04-27 00:48:29.000392,2023-04-27 00:49:17.062876,0 days 00:00:48.062484,relu,1.3891577042955828e-06,0.98,0.999,1.163405504404317e-05,0.34961307674406017,32,small,False,True,0.13955083780205943,PRUNED
89,89,1.0,2023-04-27 00:49:17.063878,2023-04-27 00:50:00.725123,0 days 00:00:43.661245,tanh,2.299453293438008e-06,0.98,0.999,1.001525814339933e-05,0.39403392506169754,32,tiny,True,False,0.1459551530216468,PRUNED
90,90,1.0,2023-04-27 00:50:00.726124,2023-04-27 00:50:52.482832,0 days 00:00:51.756708,relu,1.308083050122756e-06,0.98,0.999,1.7018150970277534e-05,0.4521826275847627,32,large,False,True,0.13049554454417006,PRUNED
91,91,1.0,2023-04-27 00:50:52.484834,2023-04-27 00:51:40.780403,0 days 00:00:48.295569,relu,1.049124589466342e-06,0.98,0.999,1.430433939635336e-05,0.35170676709645293,128,small,False,True,0.11483538073362512,PRUNED
92,92,13.0,2023-04-27 00:51:40.781401,2023-04-27 00:52:56.871208,0 days 00:01:16.089807,relu,1.9574862285286535e-06,0.98,0.999,1.2341001261447553e-05,0.3218409318329642,1024,small,False,True,0.12149788173490735,COMPLETE
93,93,1.0,2023-04-27 00:52:56.873209,2023-04-27 00:53:47.753170,0 days 00:00:50.879961,relu,4.865865620839227e-06,0.9999,0.999,1.5431064328817235e-05,0.35857594611281274,512,small,False,True,0.11090121917021718,PRUNED
94,94,1.0,2023-04-27 00:53:47.754173,2023-04-27 00:54:35.526895,0 days 00:00:47.772722,relu,1.2771312777086492e-06,0.98,0.999,1.0109237654241243e-05,0.4148336271715187,64,small,False,True,0.10636553196290185,PRUNED
